topic,gamma,terms,FREX,LIFT,SCORE,prob,max_DOI,title,abstract,label
1,0.014676438,"target, acquisition, merger, takeover, acquirer, deal, gain, bidder, auction, premium","acquirer, acquisition, bidder, merger, deal, takeover, target, mergers, synergy, tender offer","toehold, bidder, acquirer, method of payment, post acquisition, acquisition, synergy, merger, deal, mergers","toehold, acquisition, target, merger, acquirer, takeover, bidder, auction, deal, target firm","target, acquisition, merger, takeover, acquirer, deal, gain, bidder, auction, premium",10.1016/S0378-4266(96)00013-1,Cross-border acquisitions and shareholder wealth: Tests of the synergy and internalization hypotheses,"In this paper, we test the synergy and internalization hypotheses for international acquisitions using a sample of foreign acquisitions of U.S. firms during the period 1979-90. The major findings include: First, shareholders of our paired sample of U.S. targets and foreign acquirers e experienced significantly positive combined wealth gains, $68 million on average, indicating that cross-border takeovers are generally synergy-creating activities. Second, shareholders of the U.S. targets realized significant wealth gains, regardless of the nationality of acquirers. Third, the Japanese acquisitions in our sample generated the largest net wealth gains, $398 million on average, which was shared by both target shareholders (43%) and acquirer shareholders (57%). Fourth, foreign acquirers benefitted from the targets' R&D capabilities, supporting the 'reverse-internalization' hypothesis.",Merger/Acquisition
2,0.032515472,"option, method, model, pricing, jump, derivative, price, formula, time, option price","option, option price, schole, american option, formula, option pricing, jump, barrier option, approximation, exercise","asian option, reset, american option, early exercise, barrier option, lattice, european option, schole, strike price, partial differential equation","reset, option, jump, option price, formula, implied volatility, stochastic volatility, option market, american option, derivative","option, method, model, pricing, jump, derivative, price, formula, time, option price",https://doi.org/10.3905/jod.1995.407915,Flexible Arithmetic Asian Options,"This article extends the concept of flexible geometric
Asian options to flexible arithmetic Asian options (FAAO).
It provides an analytical approximation solution for the
FAAOs using a method to approximate standard arithmetic
Asian options with their corresponding geometric Asian
options. The FAAOs include the standard equally weighted
arithmetic Asian options as special cases and plain vanilla
options as limiting cases.
Comparisons between the approximation and simdation results show that the approximation formula provides very good approximation with reasonable parameters.
The approximation formula not only reduces calculating
time substantially but also simplifies expression of the
Asian options.",Option Pricing
3,0.029934848,"bank, banks, banking, capital, liquidity, systemic risk, funding, paper, deposit, effect","bank risk, deposit, systemic risk, deposit insurance, bank capital, banks, banking sector, depositor, banking, bank","liquidity creation, bank risk, tarp, bank capital, depositor, bank failure, individual bank, interest margin, capital regulation, market discipline","liquidity creation, bank, banks, banking, deposit, systemic risk, deposit insurance, bank risk, capital requirement, basel","bank, banks, banking, capital, liquidity, systemic risk, funding, paper, deposit, effect",10.1016/j.irfa.2016.09.010,"Liquidity creation, regulatory capital, and bank profitability","We examine the interrelationships among liquidity creation, regulatory capital, and bank profitability of US banks. We find that regulatory capital and liquidity creation affect each other positively after controlling for bank profitability. However, this relationship is largely driven by small banks and primarily during non-crisis periods. It is also sensitive to the level of banks regulatory capital and how it is measured. Furthermore, we find that banks which create more liquidity and exhibit higher illiquidity risk have lower profitability. Finally, the relationship between regulatory capital and bank performance is not linear and depends on the level of capitalization. Regulatory capital is negatively related to bank profitability for higher capitalized banks but positively related to profitability for lower capitalized banks. Therefore, a change in regulatory capital has differential impacts on bank performance. Our findings have various implications for policymakers and bank regulators.  2016 Elsevier Inc.",Bank Liquidity
4,0.030626963,"stock, factor, return, beta, momentum, stock return, sentiment, cross section, premium, size","momentum, sentiment, beta, stock, investor sentiment, idiosyncratic volatility, momentum strategy, cross section, idiosyncratic risk, individual stock","max, momentum profit, idiosyncratic volatility, momentum strategy, momentum, momentum effect, return comovement, coskewness, sentiment, investor sentiment","max, stock, momentum, beta, sentiment, return, stock return, investor sentiment, idiosyncratic volatility, cross section","stock, factor, return, beta, momentum, stock return, sentiment, cross section, premium, size",10.1016/j.pacfin.2019.101258,Enhancing momentum profits in the Taiwan Stock Market: The role of extreme absolute strength,"We show that stocks with extreme absolute strength are highly volatile and thus attenuate the profitability of momentum in Taiwan, a market that has been widely documented as an exception of the momentum phenomenon. An enhanced momentum strategy that removes these stocks from the winner and loser portfolios generates significant profitability in the intermediate term. A major advantage of the enhanced momentum strategy is its robust profitability over time. More importantly, it is free from the momentum crashes. We provide further evidence to show that return dispersion and information uncertainty are closely related to momentum profitability in the cross-section when stocks with extreme absolute strength are removed.  2019 Elsevier B.V.",Factor Model
5,0.01178676,"value, diversification, discount, excess, line, focus, change, segment, growth, name","excess, discount, segment, diversification, value, focus, internal capital market, conglomerate, division, name","spinoff, diversified firm, conglomerate, segment, intangible, internal capital market, discount, division, capital allocation, diversification","spinoff, value, diversification, discount, excess, segment, internal capital market, conglomerate, division, name","value, diversification, discount, excess, line, focus, change, segment, growth, name",10.1111/0022-1082.00485,"Global diversification, industrial diversification, and firm value","Using a sample of 44,288 firm-years between 1984 and 1997, we document an increase in the extent of global diversification over time. This trend does not reflect a substitution of global for industrial diversification. We also find that global diversification results in average valuation discounts of approximately the same magnitude as those for industrial diversification. Analysis of the changes in excess value associated with changes in diversification reveals that increases in global diversification reduce excess value, while reductions in global diversification increase excess value. These findings support the view that the costs of global diversification outweigh the benefits.",Firm Diversification
6,0.012809102,"rating, wealth, benefit, life, credit rating, pension, age, health, retirement, plan","pension, rating, annuity, life, retirement, mortality, health, wealth, age, pension fund","disability, fitch, pension, annuity, ratings, mortality, agencie, rating agency, longevity, credit rating agency","disability, rating, pension, wealth, annuity, credit rating, retirement, life, mortality, plan","rating, wealth, benefit, life, credit rating, pension, age, health, retirement, plan",10.2469/faj.v69.n6.4,A pension promise to oneself,"Saving for retirement is not hopeless. Well-run DB pension plans provided retirement income for generations. When plans failed, it is because they broke the rules. The same applies to individuals. By understanding a set of rules on how much to save and how to invest and then sticking to those rules-that is, by making a pension promise to oneself-retirement income goals can be met. Fulfilling this promise requires more saving than most people are accustomed to.  2013 CFA Institute.",Retirement/Annuity Market
7,0.010605878,"dividend, tax, reform, dividend policy, payout, treatment, dividend payout, capital gain, taxation, effect","tax, taxation, dividend policy, dividend, capital gain, tax rate, dividend payout, payout policy, payout, treatment","imputation, tax, taxation, payout ratio, tax rate, payout policy, dividend payment, dividend policy, capital gain, corporate tax avoidance","imputation, dividend, tax, dividend policy, payout, dividend payout, reform, taxation, capital gain, payout policy","dividend, tax, reform, dividend policy, payout, treatment, dividend payout, capital gain, taxation, effect",10.1016/j.jcorpfin.2007.09.002,Taxes and dividend policy under alternative tax regimes,"This paper examines changes in corporate dividend policy around the introduction of a dividend imputation tax system. This represented a significant change to the Australian tax framework and allows us to test the effect of differential taxation on corporate dividend policy. Consistent with the tax preference for the distribution of dividends, we find dividend initiations, all dividend payout measures and dividend reinvestment plans increased with the introduction of dividend imputation. Similarly we find that gross dividend payouts are more volatile under dividend imputation. Finally, we find that the increase in dividend payout and initiations differs across firms. In particular, we find that the higher the level of available franking tax credits the higher the firm's gross dividend payout and the more likely the firm is to initiate a dividend.  2007 Elsevier B.V. All rights reserved.",Payout Policy
8,0.012441358,"analyst, bia, institutional investor, dispersion, forecast, recommendation, side, revision, institutional ownership, earning forecast","analyst, recommendation, earning forecast, dispersion, revision, bia, herding, analyst coverage, optimism, institutional investor","pollution, stock price synchronicity, recommendation, analyst, air, optimism, synchronicity, analyst recommendation, analyst coverage, earning forecast","pollution, analyst, bia, institutional investor, recommendation, forecast, earning forecast, dispersion, revision, herding","analyst, bia, institutional investor, dispersion, forecast, recommendation, side, revision, institutional ownership, earning forecast",10.2469/faj.v58.n4.2452,Individual-Analyst Characteristics and Forecast Error,"The purpose of the study reported here was to investigate how characteristics of analysts affect their forecast errors. Previous research has found positive serial correlation in forecast errors, which can be attributed to underreaction to new information, especially to bad news. The relationship between an analyst's behavior and that analyst's characteristics is not clear, however, because most previous work was based solely on consensus estimates. By using detailed historical data, I found a stronger serial correlation among the herd-to-consensus analysts (that is, the group with a small average distance between their forecasts and the consensus forecast) than among other analysts. Moreover, average distance to consensus itself has a positive serial correlation, and it may be attributed to an analyst's personality (optimistic or pessimistic). I found strong positive serial correlation in the average distance to consensus among the herd-to-consensus analysts. These results show that herd-to-consensus analysts submit earnings estimates that are not only close to the consensus but are also strongly affected by their personalities.",Analyst
9,0.016011428,"insurance, loss, system, insurer, claim, self, article, liability, classification, coverage","insurance, claim, insurer, classification, self, loss, system, insurance market, care, moral hazard","fault, accident, liability insurance, automobile, insurance contract, insurance policy, insurance market, insurance, numbers, guaranty","fault, insurance, insurer, loss, system, claim, liability, self, insurance market, coverage","insurance, loss, system, insurer, claim, self, article, liability, classification, coverage",10.2307/252906,THE STOCHASTIC-DOMINANCE OF NO-FAULT AUTOMOBILE INSURANCE,"This article presents a rigorous analysis of no-fault automobile insurance in terms of stochastic dominance theory. In the baseline case, with identical drivers and actuarially fair insurance, no-fault is stochastically dominant as long as the no-fault insurance premium exceeds the tort premium. In this case, no-fault brings a higher proportion of accident costs under insurance, increasing driver welfare. When expense charges are introduced (actuarially unfair insurance) no-fault may still be stochastically dominant if the expense charge is less under no-fault, even if no-fault weakens incentives for good driving and leads to higher accident rates. Elective no-fault is unlikely to reduce auto insurance costs, because drivers with high propensities toward moral hazard are likely to retain their fight to sue by choosing tort.",Insurance System
10,0.015982253,"loan, borrower, relationship, lender, loans, contract, lending, collateral, bank, bank loan","lender, loan, borrower, bank loan, collateral, loans, securitization, lending, commitment, loan spread","arranger, loan contract, loan spread, bank loan, bank relationship, loan rate, lender, loan market, securitization, loan","arranger, loan, borrower, lender, loans, lending, collateral, bank loan, securitization, bank","loan, borrower, relationship, lender, loans, contract, lending, collateral, bank, bank loan",10.1016/j.intfin.2015.05.021,Lead arranger reputation and the structure of loan syndicates,"This study explores the effects of information asymmetry and arranger reputations on syndicated loan structures. The moral hazard problem arising from information asymmetries between borrower and syndicate can be overcome only by the most reputable arrangers. Both moral hazard and adverse selection problems appear when arrangers have an information advantage over other syndicate participants. However, the adverse selection problem arises only when low-reputation arrangers lend to opaque borrowers.  2015 Elsevier B.V..",Debt Financing
